0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/student/index?_=1589258105387 HTTP/1.1" 200 15730
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/resources/img/stubg.jpg HTTP/1.1" 200 32806
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/resources/img/msg.jpg HTTP/1.1" 200 43334
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/findUserMsg HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/getNoticeList?_=1589258105388 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:07 +0800] "GET /laboratoryweb/laboratoryInfo?_=1589258105389 HTTP/1.1" 200 6183
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:07 +0800] "GET /laboratoryweb/resources/css/icons/add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:07 +0800] "GET /laboratoryweb/resources/css/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:07 +0800] "GET /laboratoryweb/resources/css/icons/undo.png HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:07 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:07 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/calendar_arrows.png HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:07 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/datebox_arrow.png HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:07 +0800] "POST /laboratoryweb/getAllTimeSection HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:07 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/datagrid_icons.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:07 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:07 +0800] "POST /laboratoryweb/getPagerLaboratorys HTTP/1.1" 200 2023
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:08 +0800] "GET /laboratoryweb/resources/css/icons/cancel.png HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:08 +0800] "GET /laboratoryweb/resources/css/icons/ok.png HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [12/May/2020:12:38:49 +0800] "POST /laboratoryweb/orderLaboratory HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2020:12:38:51 +0800] "GET /laboratoryweb/exit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:12:38:51 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [12/May/2020:12:38:51 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3743
0:0:0:0:0:0:0:1 - - [12/May/2020:12:39:06 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/May/2020:12:39:06 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [12/May/2020:12:39:06 +0800] "GET /laboratoryweb/adminPage HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [12/May/2020:12:39:06 +0800] "GET /laboratoryweb/resources/js/adminPage.js HTTP/1.1" 200 3213
0:0:0:0:0:0:0:1 - - [12/May/2020:12:39:06 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [12/May/2020:12:39:06 +0800] "GET /laboratoryweb/adminIndex?_=1589258346376 HTTP/1.1" 200 25313
0:0:0:0:0:0:0:1 - - [12/May/2020:12:39:06 +0800] "GET /laboratoryweb/findMsg HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [12/May/2020:12:39:06 +0800] "GET /laboratoryweb/getNoticeList?_=1589258346378 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [12/May/2020:12:39:06 +0800] "GET /laboratoryweb/getPagerMessage?flag=0&_=1589258346377 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [12/May/2020:12:39:08 +0800] "GET /laboratoryweb/orderManager?_=1589258346379 HTTP/1.1" 200 4143
0:0:0:0:0:0:0:1 - - [12/May/2020:12:39:08 +0800] "POST /laboratoryweb/getPagerOrders HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [12/May/2020:12:39:17 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/messager_icons.png HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:18 +0800] "GET /laboratoryweb/exit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:18 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:18 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:29 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:29 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:29 +0800] "GET /laboratoryweb/teacherPage HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:29 +0800] "GET /laboratoryweb/resources/js/teacherPage.js HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:29 +0800] "GET /laboratoryweb/teacherIndex?_=1589258669753 HTTP/1.1" 200 15400
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:29 +0800] "GET /laboratoryweb/findUserMsg HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:29 +0800] "GET /laboratoryweb/getNoticeList?_=1589258669754 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:30 +0800] "GET /laboratoryweb/laboratoryInfo?_=1589258669755 HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:31 +0800] "POST /laboratoryweb/getPagerLaboratorys HTTP/1.1" 200 2023
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:31 +0800] "GET /laboratoryweb/saveOrderData?labId=4&laboratoryName=%E7%BB%BC%E5%90%88%E5%8C%96%E5%AD%A6%E5%AE%9E%E9%AA%8C%E5%AE%A4&laboratoryId=1004 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:31 +0800] "GET /laboratoryweb/teacherOrder?_=1589258669756 HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:32 +0800] "POST /laboratoryweb/getAllTimeSection HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:32 +0800] "POST /laboratoryweb/getTeacherStuClass HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [12/May/2020:12:44:32 +0800] "POST /laboratoryweb/getExperProjectByLabId HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:15 +0800] "GET /laboratoryweb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:15 +0800] "GET /laboratoryweb/homePage HTTP/1.1" 200 16890
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:15 +0800] "GET /laboratoryweb/getNoticeList?_=1589260755136 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:15 +0800] "GET /laboratoryweb/getRuleList?_=1589260755137 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:15 +0800] "GET /laboratoryweb/getLabRankList?_=1589260755138 HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:15 +0800] "GET /laboratoryweb/getLabTime?id=1011 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:15 +0800] "GET /laboratoryweb/getLabTime?id=1005 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:15 +0800] "GET /laboratoryweb/getLabTime?id=1003 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:15 +0800] "GET /laboratoryweb/getLabTime?id=1004 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:15 +0800] "GET /laboratoryweb/getExperPjtList?_=1589260755139 HTTP/1.1" 200 4796
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:15 +0800] "GET /laboratoryweb/getLabList?_=1589260755140 HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:18 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:18 +0800] "GET /laboratoryweb/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:18 +0800] "GET /laboratoryweb/resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:18 +0800] "GET /laboratoryweb/resources/css/icons/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:18 +0800] "GET /laboratoryweb/resources/css/icons/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:18 +0800] "GET /laboratoryweb/resources/css/icons/key.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:19 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3788
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:19 +0800] "GET /laboratoryweb/resources/img/bg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:29 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:29 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:29 +0800] "GET /laboratoryweb/studentPage HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:29 +0800] "GET /laboratoryweb/resources/js/studentPage.js HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:29 +0800] "GET /laboratoryweb/resources/js/page.js HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:29 +0800] "GET /laboratoryweb/resources/img/bg.jpg HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:30 +0800] "GET /laboratoryweb/student/index?_=1589260769933 HTTP/1.1" 200 15730
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:30 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:30 +0800] "GET /laboratoryweb/resources/css/icons/tip.png HTTP/1.1" 200 743
