0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:54 +0800] "GET /laboratoryweb/getPagerMessage?flag=0&_=1587817134456 HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:55 +0800] "GET /laboratoryweb/teacherManager?_=1587817134458 HTTP/1.1" 200 9275
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:55 +0800] "POST /laboratoryweb/getAllDepartments HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:55 +0800] "POST /laboratoryweb/getAllDepartments HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:55 +0800] "POST /laboratoryweb/getPagerTeachers HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:55 +0800] "GET /laboratoryweb/getTeacherDepart?teacherId=1 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:55 +0800] "GET /laboratoryweb/getTeacherDepart?teacherId=3 HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:55 +0800] "GET /laboratoryweb/getTeacherDepart?teacherId=4 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:55 +0800] "GET /laboratoryweb/getTeacherDepart?teacherId=5 HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:55 +0800] "GET /laboratoryweb/getTeacherDepart?teacherId=10 HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:41 +0800] "GET /laboratoryweb/adminPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:41 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:41 +0800] "GET /laboratoryweb/resources/css/login.css HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:41 +0800] "GET /laboratoryweb/resources/css/icons/user.png HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:41 +0800] "GET /laboratoryweb/resources/css/icons/lock.png HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:41 +0800] "GET /laboratoryweb/resources/js/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:41 +0800] "GET /laboratoryweb/resources/js/login.js HTTP/1.1" 200 2287
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:41 +0800] "GET /laboratoryweb/resources/css/icons/key.png HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:41 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:41 +0800] "GET /laboratoryweb/resources/img/bg3.jpg HTTP/1.1" 200 97073
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:41 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:53 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:19:53 +0800] "GET /laboratoryweb/kaptcha.jpg?d=Sat%20Apr%2025%202020%2020:19:53%20GMT+0800%20(%E4%B8%AD%E5%9B%BD%E6%A0%87%E5%87%86%E6%97%B6%E9%97%B4) HTTP/1.1" 200 3826
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:00 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
